3d	three d
co2	c o two
2d	two d
h5n1	h five n one
g20	g twenty
e8	e eight
mp3	mp three
cas9	cas nine
g8	g eight
t20	t twenty
y2k	y to k
3s	3 s
o2	o two
a4	a four
23andme	twenty-three and me
h1n1	h one n one
4shbab	four shbab
4chan	four chan
g7	g seven
brd4	brd four
3g	three g
sub1	sub one
50x15	fifty times fifteen
4am	four am
foxp2	foxp two
186f	one hundred eighty-six
l1	l one
47s	forty-seven s
747s	seven hundred forty-seven s
c4	c four
1k	one k
16k	sixteen k
3m	three m
t1	t one
4g	four g
b12	b twelve
nand2tetris	nand to tetris
4d	four d
84k	eighty-four k
3po	three po
j2	j two
30am	thirty am
8x10	eight times ten
g3	g three
b92	b ninety-two
k2	k two
c02	c zero two
c3po	c three p o
zx80	zx eighty
zx81	zx eighty-one
60k	sixty k
50k	fifty k
h2s	h to s
r2d2	r two d two
n95	n ninety-five
cd4	cd four
her2	her two
ch4	ch four
u2	u two
mothers2mothers	mothers to mothers
mc2	mc two
o600ko78rus	o six hundred ko seventy-eight rus
cha0	cha zero
b15	b fifteen
p53	p fifty-three
jq1	jq one
5pm	five pm
1830s	eighteen, thirties
cisa3	cisa three
a380	a three hundred eighty
smileygirl1978	smiley girl nineteen seventy-eight
221b	two hundred twenty-one b
pr2	pr two
liquidsore29	liquid sore twenty-nine
nrk2	nrk two
1s	one s
8pm	eight pm
7pm	seven pm
2am	two am
tio2	tio two
apoe4	apoe four
b612	b six hundred twelve
dc8	dc eight
sr71	sr seventy-one
mr3	mr three
mes10	mes ten
m25	m twenty-five
r2	r two
d2	d two
h2eye	h to eye
ab32	ab thirty-two
ted2008	ted two thousand eight
ev1	ev one
ted2003	ted two thousand three
x174	x one hundred seventy-four
4l	four l
g4s	g for s
p2p	p to p
h20	h twenty
6x	six x
h3n2	h three n two
6j6	six j six
po2	po two
1am	one am
a10	a ten
ps1	ps one
rd2d2	rd two d two
78s	seventy-eight s
3dz	three dz
sinclair1000	sinclair one thousand
800s	eight hundred s
16ths	sixteens
4ths	fourths
m16	m sixteen
40k	forty k
m400	m four hundred
rx8	rx eight
6db	six db
16mm	sixteen mm
76ers	seventy-six ers
me109	me one hundred nine
53w	fifty-three w
cop15	cop fifteen
t2	t two
g1	g one
g5	g five
mi6	mi six
so2	so two
twenty20	twenty twenty
b1	b one
b2	b two
zz143	zz one hundred forty-three
f18s	f eighteen s
f22s	f twenty-two s
f15s	f fifteen s
g2g	g to g
co2e	co two e
e85	e eighty-five
g2	g two
30project.org	thirty project dot org
e3	e three
t3	t three
co2s	co two e
mp3s	mp three s
ted2006	ted two thousand six
1000awesomethings.com	one thousand awesomethings dot com
m4	m four
sio2	sio two
m13	m thirteen
html5	html five
k1a1b1a	k one a one b one a
rp7	rp seven
p4	p four
9am	nine am
ted2009	ted two thousand nine
s600	s six hundred
v12	v twelve
78rus	78 rus
s7	s seven
matrix001	matrix zero zero one
1280x800	one thousand, two hundred eighty times eight hundred
3c	three c
tp53	tp fifty-three
a1	a one
avpr1	avpr one
f1	f one
15e	fifteen e
disc1	disc one
3t	three t
530s	five hundred thirty s
co1	co one
577r	five hundred seventy-seven r
35s	thirty-five s
ps3	ps three
p1	p one
ef3	ef three
15j	fifteen j
5c	five c
4mm	four mm
t12	t twelve
l2	l two
no3	no three
no2	no two
a58	a fifty-eight
10x10	ten times ten
cb1	cb one
2g	two g
20mph	twenty mph
a12	a twelve
h2o	h two o
w3c	w three c
c40	c forty
jewishdoc57	jewishdoc fifty-seven
500s	five hundred s
whiteboy77ags	whiteboy seventy-seven ags
z9a24	z nine a twenty-four
basic8	basic eight
basic16	basic sixteen
gen9	gen nine
100ths	one hundredths
webat25.org	webat twenty-five dot org
360s	three hundred sixty s
10x	ten times
20x	twenty times
pawa254	pawa two hundred fifty-four
40307g	forty thousand, three hundred seven g
16b	sixteen b
10b	ten b
1214b	one thousand, two hundred fourteen b
4p	four p
2s	two s
1h	one h
2h	two h
h30	h thirty
l41	l forty-one
l22	l twenty-two
brca1	brca one
brca2	brca two
0s	zero s
cop21	cop twenty-one
50pm	fifty pm
ted2017	ted two thousand seventeen
5am	five am
3am	three am
9mm	nine mm
mh370	mh three hundred seventy
45k	forty-five k
440hz	four hundred forty hz
lgbtq2sia	lgbtq two sia
5k	five k
b7	b seven
11pm	eleven pm
6am	six am
